Designator,Mid X,Mid Y,Rotation,Layer
D1,72.25,-116.15,90.0,bottom
D10,248.4625,-116.15,90.0,bottom
D11,267.5125,-116.15,90.0,bottom
D12,286.5625,-116.15,90.0,bottom
D13,310.375,-116.15,90.0,bottom
D14,339.0,-116.15,90.0,bottom
D15,72.25,-135.2,90.0,bottom
D16,98.44375,-135.2,90.0,bottom
D17,119.875,-135.2,90.0,bottom
D18,138.925,-135.2,90.0,bottom
D19,157.975,-135.2,90.0,bottom
D2,96.0625,-116.15,90.0,bottom
D20,177.025,-135.2,90.0,bottom
D21,196.075,-135.2,90.0,bottom
D22,222.993615,-140.541811,0.0,bottom
D23,234.175,-135.2,90.0,bottom
D24,253.225,-135.2,90.0,bottom
D25,272.275,-135.2,90.0,bottom
D26,291.325,-135.2,90.0,bottom
D27,312.75625,-135.2,90.0,bottom
D28,339.0,-135.1,90.0,bottom
D29,72.25,-154.25,90.0,bottom
D3,115.1125,-116.15,90.0,bottom
D30,103.20625,-154.25,90.0,bottom
D31,129.4,-154.25,90.0,bottom
D32,148.45,-154.25,90.0,bottom
D33,167.5,-154.25,90.0,bottom
D34,186.75,-154.25,90.0,bottom
D35,210.75,-158.5,0.0,bottom
D36,224.65,-154.25,90.0,bottom
D37,243.7,-154.25,90.0,bottom
D38,262.75,-154.25,90.0,bottom
D39,281.8,-154.25,90.0,bottom
D4,134.1625,-116.15,90.0,bottom
D40,307.99375,-154.25,90.0,bottom
D41,339.07,-154.52,90.0,bottom
D42,110.35,-173.3,90.0,bottom
D43,129.4,-173.3,90.0,bottom
D44,148.45,-173.3,90.0,bottom
D45,179.40625,-173.3,90.0,bottom
D46,227.03125,-173.3,90.0,bottom
D47,262.75,-173.3,90.0,bottom
D48,281.8,-173.3,90.0,bottom
D49,300.85,-173.3,90.0,bottom
D5,153.2125,-116.15,90.0,bottom
D52,217.743615,-171.541811,270.0,bottom
D6,172.25,-116.25,90.0,bottom
D7,191.5,-117.5,90.0,bottom
D9,229.326385,-116.478189,90.0,bottom
J_SOL_1,190.993615,-111.771811,180.0,bottom
Q3,210.494322,-165.061104,180.0,bottom
R1,204.243615,-154.791811,270.0,bottom
S1,80.553615,-114.131811,0.0,top
S10,256.766115,-114.131811,0.0,top
S11,275.816115,-114.131811,0.0,top
S12,294.866115,-114.131811,0.0,top
S13,318.678615,-114.131811,0.0,top
S14,347.253615,-114.131811,0.0,top
S15,80.553615,-133.181811,0.0,top
S16,106.747365,-133.181811,0.0,top
S17,128.178615,-133.181811,0.0,top
S18,147.228615,-133.181811,0.0,top
S19,166.278615,-133.181811,0.0,top
S2,104.366115,-114.131811,0.0,top
S20,185.328615,-133.181811,0.0,top
S21,204.378615,-133.181811,0.0,top
S22,223.428615,-133.181811,0.0,top
S23,242.478615,-133.181811,0.0,top
S24,261.528615,-133.181811,0.0,top
S25,280.578615,-133.181811,0.0,top
S26,299.628615,-133.181811,0.0,top
S27,321.059865,-133.181811,0.0,top
S28,347.253615,-133.181811,0.0,top
S29,80.553615,-152.231811,0.0,top
S3,123.416115,-114.131811,0.0,top
S30,111.509865,-152.231811,0.0,top
S31,137.703615,-152.231811,0.0,top
S32,156.753615,-152.231811,0.0,top
S33,175.803615,-152.231811,0.0,top
S34,194.853615,-152.231811,0.0,top
S35,213.903615,-152.231811,0.0,top
S36,232.953615,-152.231811,0.0,top
S37,252.003615,-152.231811,0.0,top
S38,271.053615,-152.231811,0.0,top
S39,290.103615,-152.231811,0.0,top
S4,142.466115,-114.131811,0.0,top
S40,316.297365,-152.231811,0.0,top
S41,347.253615,-152.231811,0.0,top
S42,118.653615,-171.281811,0.0,top
S43,137.703615,-171.281811,0.0,top
S44,156.753615,-171.281811,0.0,top
S45,187.709865,-174.229311,0.0,top
S46,235.334865,-174.229311,0.0,top
S47,271.053615,-171.281811,0.0,top
S48,290.103615,-171.281811,0.0,top
S49,309.153615,-171.281811,0.0,top
S5,161.516115,-114.131811,0.0,top
S6,180.566115,-114.131811,0.0,top
S7,199.616115,-114.131811,0.0,top
S8,218.666115,-114.131811,0.0,top
S9,237.716115,-114.131811,0.0,top
